"","run","subid","condition","compCheckFree","compCheckMulti","country","age","gender","englishNative","ethnicity","education","religionChild","religionNow","politicalIdeology","maritalStatus","children","job","studyMoralPhil","dog","vegetarian","beliefRules","beliefGod","beliefAfterlife","beliefTradition","comments","gerald_schiff_pvs","toby_chimp","fetus","god","delores_gleitman_deceased","sharon_harvey_woman","green_frog","todd_billingsley_man","charlie_dog","nicholas_gannon_baby","samantha_hill_girl","kismet_robot","you","country_selfrep","compCheckCount"
"1","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,-2,0,0,2,-2,2,0,-2,-1,1,-2,-1,2,"usa",NA
"2","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,1,-2,-2,2,-2,2,-2,2,-2,-2,2,-2,2,"usa",NA
"3","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,-2,-2,0,2,-2,2,-2,2,0,-2,-2,0,2,"usa",NA
"4","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,-2,0,0,2,-2,2,0,-2,-2,0,-2,-2,2,"usa",NA
"5","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,0,0,-2,2,-1,2,0,2,-2,-1,2,-2,2,"usa",NA
"6","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,1,-2,-1,2,-1,2,-2,2,0,0,2,0,2,"usa",NA
"7","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,1,-1,-2,2,-2,2,-2,2,0,0,2,0,2,"usa",NA
"8","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,1,-2,0,2,0,2,0,2,1,0,2,-2,2,"usa",NA
"9","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,-1,0,-2,0,0,-2,-1,2,1,1,2,0,2,"usa",NA
"10","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,0,-2,0,-2,-1,2,-1,2,-2,-2,1,0,2,"usa",NA
"11","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,-2,0,0,2,0,-2,0,2,0,1,-2,0,-2,"usa",NA
"12","us_run_01","us_run_01_1","Morality",NA,NA,"us",28,"male","yes_only","black","college_bachDegree","christianity_catholic","christianity_catholic","independent","no",2,NA,"no","no","no","disagree_strong","agree_strong","agree_little","neither",NA,1,0,-2,2,0,2,-2,2,-2,-2,2,-2,2,"usa",NA
"13","us_run_01","us_run_01_2","Hunger",NA,NA,"us",31,"male","yes_only","white","college_assocDegree","christianity_catholic","christianity_catholic","democrat","no_commited",5,"Salesman","no","yes","no","agree_moderate","agree_moderate","disagree_strong","agree_strong","Good engaging study enjoyed it and much and thanks in advance keep up the work ",-2,0,-2,-1,-2,2,0,0,0,2,0,1,-1,"America",NA
"14","us_run_01","us_run_01_2","Hunger",NA,NA,"us",31,"male","yes_only","white","college_assocDegree","christianity_catholic","christianity_catholic","democrat","no_commited",5,"Salesman","no","yes","no","agree_moderate","agree_moderate","disagree_strong","agree_strong","Good engaging study enjoyed it and much and thanks in advance keep up the work ",1,-2,-1,0,-2,0,-1,2,2,0,0,2,-2,"America",NA
"15","us_run_01","us_run_01_2","Hunger",NA,NA,"us",31,"male","yes_only","white","college_assocDegree","christianity_catholic","christianity_catholic","democrat","no_commited",5,"Salesman","no","yes","no","agree_moderate","agree_moderate","disagree_strong","agree_strong","Good engaging study enjoyed it and much and thanks in advance keep up the work ",1,0,1,-2,0,2,0,2,0,-1,1,-1,-2,"America",NA
"16","us_run_01","us_run_01_2","Hunger",NA,NA,"us",31,"male","yes_only","white","college_assocDegree","christianity_catholic","christianity_catholic","democrat","no_commited",5,"Salesman","no","yes","no","agree_moderate","agree_moderate","disagree_strong","agree_strong","Good engaging study enjoyed it and much and thanks in advance keep up the work ",1,-1,2,-2,-2,2,0,1,0,2,2,-2,-2,"America",NA
"17","us_run_01","us_run_01_2","Hunger",NA,NA,"us",31,"male","yes_only","white","college_assocDegree","christianity_catholic","christianity_catholic","democrat","no_commited",5,"Salesman","no","yes","no","agree_moderate","agree_moderate","disagree_strong","agree_strong","Good engaging study enjoyed it and much and thanks in advance keep up the work ",-1,2,1,-2,-2,2,-1,1,1,1,2,-1,0,"America",NA
